Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff22-snap-gene-63.37-mRNA-1	NG	0.755239	1.89474	0.398597	4.62452e-11	1281	300.105	980.895	NA	674	207.083	466.917	NA	NA	1.0222	1:1:1:1:1:1	0.183813(0.213601:0.164342:0.173496)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff20-snap-gene-123.32-mRNA-1	NG	0.804424	NA	NA	1.91469e-16	1302	307.714	994.286	NA	723	232.417	490.583	NA	NA	0.377967	1:1:1:1:1:1	0.202121(0.224063:0.18265:0.199651)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff20-processed-gene-339.3-mRNA-1	NG	0.786571	2.15304	0.365331	4.73158e-12	1323	315.074	1007.93	NA	714	222.917	491.083	NA	NA	1.112	1:1:1:1:1:1	0.20866(0.230602:0.189625:0.205754)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff25-augustus-gene-50.33-mRNA-1	NG	0.650905	2.37462	0.274109	3.64424e-19	1350	319.819	1030.18	NA	678	229.75	448.25	NA	NA	1.05926	1:1:1:1:1:1	0.199506(0.219268:0.179163:0.200087)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff13-snap-gene-205.30-mRNA-1	NG	0.779386	2.39783	0.325038	1.82888e-13	1317	309.659	1007.34	NA	711	222.75	488.25	NA	NA	1.15992	1:1:1:1:1:1	0.196019(0.226242:0.176112:0.185702)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff33-augustus-gene-72.29-mRNA-1	NG	0.515111	NA	NA	4.03547e-34	1317	309.041	1007.96	NA	611	235.417	375.583	NA	NA	0.159582	1:1:1:1:1:1	0.179454(0.206626:0.16129:0.170445)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff33-augustus-gene-295.32-mRNA-1	NG	0.748968	3.00466	0.249269	2.71354e-16	1311	308.278	1002.72	NA	702	227	475	NA	NA	1.27939	1:1:1:1:1:1	0.197762(0.227114:0.183086:0.183086)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff46-augustus-gene-185.20-mRNA-1	NG	0.644069	3.20985	0.200654	3.52361e-20	1206	285.396	920.604	NA	609	211.083	397.917	NA	NA	1.25125	1:1:1:1:1:1	0.167974(0.194856:0.156059:0.153008)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff49-snap-gene-9.64-mRNA-1	NG	0.302195	1.712	0.176515	4.35275e-43	1380	321.954	1058.05	NA	480	216.833	263.167	NA	NA	0.631103	1:1:1:1:1:1	0.272159(0.310811:0.253705:0.251962)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff37-snap-gene-141.39-mRNA-1	NG	0.185234	0.793424	0.233461	4.85888e-30	1374	317.939	1056.06	NA	329	155.667	173.333	NA	NA	0.325967	1:1:1:1:1:1	0.17989(0.200523:0.16129:0.177855)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff28-snap-gene-4.47-mRNA-1	NG	0.303098	1.71582	0.176649	5.46788e-43	1380	322.51	1057.49	NA	481	217.333	263.667	NA	NA	0.633257	1:1:1:1:1:1	0.261697(0.295118:0.247602:0.242371)	NA	NA	NA	NA
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1-Vcor_VaccDscaff28-snap-gene-34.33-mRNA-1	NG	0.774698	1.97149	0.392951	7.23244e-11	1266	302.979	963.021	NA	676	210.833	465.167	NA	NA	1.06111	1:1:1:1:1:1	0.20837(0.234961:0.186574:0.203575)	NA	NA	NA	NA
