Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vdar_KAH7835189.1-Vdar_KAH7859503.1	NG	0.649305	3.74953	0.17317	2.64212e-24	1446	337.498	1108.5	NA	733	251.417	481.583	NA	NA	1.3729	1:1:1:1:1:1	0.333333(0.359119:0.293082:0.347799)	NA	NA	NA	NA
Vdar_KAH7835189.1-Vdar_KAH7851380.1	NG	0.713456	3.62801	0.196652	4.11823e-21	1464	345.741	1118.26	NA	772	257.25	514.75	NA	NA	1.40176	1:1:1:1:1:1	0.326625(0.363522:0.28239:0.333962)	NA	NA	NA	NA
Vdar_KAH7835189.1-Vdar_KAH7840041.1	NG	0.69136	2.15513	0.320797	1.29516e-17	1479	355.532	1123.47	NA	759	251.583	507.417	NA	NA	1.04323	1:1:1:1:1:1	0.326625(0.351572:0.283648:0.344654)	NA	NA	NA	NA
Vdar_KAH7835189.1-Vdar_KAH7854940.1	NG	0.716906	NA	NA	4.92776e-22	1404	330.84	1073.16	NA	746	250.583	495.417	NA	NA	0.312332	1:1:1:1:1:1	0.318239(0.349686:0.283648:0.321384)	NA	NA	NA	NA
Vdar_KAH7835189.1-Vdar_KAH7855228.1	NG	0.60836	2.31012	0.263346	6.06012e-21	1347	316.779	1030.22	NA	656	226.667	429.333	NA	NA	1.00857	1:1:1:1:1:1	0.302725(0.334591:0.261635:0.31195)	NA	NA	NA	NA
Vdar_KAH7835189.1-Vdar_KAH7864007.1	NG	0.40082	2.06426	0.194172	5.8987e-37	1410	332.424	1077.58	NA	568	233.417	334.583	NA	NA	0.792994	1:1:1:1:1:1	0.314675(0.35283:0.266667:0.324528)	NA	NA	NA	NA
Vdar_KAH7835189.1-Vdar_KAH7864239.1	NG	0.598197	2.75597	0.217055	9.40211e-24	1341	317.61	1023.39	NA	654	232.167	421.833	NA	NA	1.10926	1:1:1:1:1:1	0.323061(0.355346:0.289308:0.324528)	NA	NA	NA	NA
Vdar_KAH7859503.1-Vdar_KAH7851380.1	NG	0.766407	NA	NA	1.63271e-26	1428	331.611	1096.39	NA	792	265.667	526.333	NA	NA	0.356211	1:1:1:1:1:1	0.327883(0.367925:0.288679:0.327044)	NA	NA	NA	NA
Vdar_KAH7859503.1-Vdar_KAH7840041.1	NG	0.712128	4.19025	0.169949	6.66554e-20	1344	316.742	1027.26	NA	709	236.667	472.333	NA	NA	1.53182	1:1:1:1:1:1	0.327883(0.355975:0.289937:0.337736)	NA	NA	NA	NA
Vdar_KAH7859503.1-Vdar_KAH7854940.1	NG	0.741895	NA	NA	5.92722e-25	1341	305.11	1035.89	NA	731	243	488	NA	NA	0.345572	1:1:1:1:1:1	0.319497(0.354088:0.289937:0.314465)	NA	NA	NA	NA
Vdar_KAH7859503.1-Vdar_KAH7855228.1	NG	0.520392	2.43229	0.213952	1.54048e-29	1452	336.124	1115.88	NA	661	242.25	418.75	NA	NA	0.962977	1:1:1:1:1:1	0.303983(0.338994:0.267925:0.305031)	NA	NA	NA	NA
Vdar_KAH7859503.1-Vdar_KAH7864007.1	NG	0.750305	3.45926	0.216898	7.05987e-18	1398	324.443	1073.56	NA	750	240.917	509.083	NA	NA	1.37899	1:1:1:1:1:1	0.315933(0.357233:0.272956:0.31761)	NA	NA	NA	NA
Vdar_KAH7859503.1-Vdar_KAH7864239.1	NG	0.708205	NA	NA	1.94871e-25	1593	371.763	1221.24	NA	842	282.333	559.667	NA	NA	0.309556	1:1:1:1:1:1	0.324319(0.359748:0.295597:0.31761)	NA	NA	NA	NA
Vdar_KAH7851380.1-Vdar_KAH7840041.1	NG	0.638175	NA	NA	5.26716e-28	1521	361.544	1159.46	NA	771	272.75	498.25	NA	NA	0.248779	1:1:1:1:1:1	0.321174(0.360377:0.279245:0.323899)	NA	NA	NA	NA
Vdar_KAH7851380.1-Vdar_KAH7854940.1	NG	0.306619	1.80066	0.170282	3.98924e-50	1587	366.191	1220.81	NA	557	249.75	307.25	NA	NA	0.65136	1:1:1:1:1:1	0.312788(0.358491:0.279245:0.300629)	NA	NA	NA	NA
Vdar_KAH7851380.1-Vdar_KAH7855228.1	NG	0.780586	NA	NA	8.83767e-20	1332	311.969	1020.03	NA	735	240.167	494.833	NA	NA	0.363553	1:1:1:1:1:1	0.297275(0.343396:0.257233:0.291195)	NA	NA	NA	NA
Vdar_KAH7851380.1-Vdar_KAH7864007.1	NG	0.70943	NA	NA	1.37825e-21	1326	312.386	1013.61	NA	703	238	465	NA	NA	0.306714	1:1:1:1:1:1	0.309224(0.361635:0.262264:0.303774)	NA	NA	NA	NA
Vdar_KAH7851380.1-Vdar_KAH7864239.1	NG	0.826722	3.57687	0.23113	1.527e-14	1308	308.171	999.829	NA	730	229.167	500.833	NA	NA	1.47467	1:1:1:1:1:1	0.31761(0.364151:0.284906:0.303774)	NA	NA	NA	NA
Vdar_KAH7840041.1-Vdar_KAH7854940.1	NG	0.642355	NA	NA	2.58027e-32	1479	348.466	1130.53	NA	761	273.167	487.833	NA	NA	0.255401	1:1:1:1:1:1	0.312788(0.346541:0.280503:0.311321)	NA	NA	NA	NA
Vdar_KAH7840041.1-Vdar_KAH7855228.1	NG	0.797288	NA	NA	5.51376e-17	1254	298.03	955.97	NA	696	226.667	469.333	NA	NA	0.370139	1:1:1:1:1:1	0.297275(0.331447:0.258491:0.301887)	NA	NA	NA	NA
