Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057479248.1-Aer_XP_057496637.1	NG	0.78576	4.19199	0.187443	9.07727e-17	1368	318.412	1049.59	NA	749	237.917	511.083	NA	NA	1.57859	1:1:1:1:1:1	0.316921(0.348821:0.289182:0.31276)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057497741.1	NG	0.767275	NA	NA	9.08694e-22	1308	307.562	1000.44	NA	721	240.417	480.583	NA	NA	0.35172	1:1:1:1:1:1	0.312529(0.357836:0.282247:0.297503)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057505826.1	NG	0.756471	4.63328	0.163269	1.44084e-17	1305	302.294	1002.71	NA	704	226.25	477.75	NA	NA	1.65451	1:1:1:1:1:1	0.314609(0.355756:0.28294:0.305132)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057509178.1	NG	0.745932	NA	NA	1.15153e-17	1224	288.375	935.625	NA	660	217.833	442.167	NA	NA	0.334589	1:1:1:1:1:1	0.295885(0.333564:0.266297:0.287795)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057510152.1	NG	0.776231	2.52319	0.307638	1.34693e-14	1383	325.25	1057.75	NA	747	235.5	511.5	NA	NA	1.18708	1:1:1:1:1:1	0.328017(0.361304:0.296117:0.32663)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057511237.1	NG	0.60554	NA	NA	1.04076e-30	1485	345.966	1139.03	NA	737	263.75	473.25	NA	NA	0.231492	1:1:1:1:1:1	0.337725(0.373093:0.299584:0.340499)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057510948.1	NG	0.785061	2.43767	0.322054	3.3415e-15	1515	352.903	1162.1	NA	820	254.417	565.583	NA	NA	1.17002	1:1:1:1:1:1	0.344891(0.379334:0.303745:0.351595)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057512530.1	NG	0.741456	NA	NA	6.97744e-21	1308	305.372	1002.63	NA	707	234.833	472.167	NA	NA	0.334887	1:1:1:1:1:1	0.309061(0.352288:0.281553:0.293343)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057461131.1	NG	0.775823	NA	NA	1.54342e-20	1227	288.047	938.953	NA	680	226.083	453.917	NA	NA	0.358936	1:1:1:1:1:1	0.293343(0.328017:0.265603:0.286408)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057463197.1	NG	0.767023	2.51473	0.305012	2.43819e-14	1317	309.953	1007.05	NA	708	224.333	483.667	NA	NA	1.17834	1:1:1:1:1:1	0.312991(0.346741:0.282247:0.309986)	NA	NA	NA	NA
