Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL006900	NG	0.757219	2.64951	0.285796	8.92248e-16	1359	318.761	1040.24	NA	728	232.083	495.917	NA	NA	1.20106	1:1:1:1:1:1	0.329809(0.357587:0.298507:0.333333)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL007610	NG	0.232549	1.76411	0.131822	1.39537e-68	1692	394.179	1297.82	NA	527	267.5	259.5	NA	NA	0.58935	1:1:1:1:1:1	0.326907(0.360075:0.290423:0.330224)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL009662	NG	0.780352	NA	NA	3.16562e-23	1257	297.788	959.212	NA	704	238.75	465.25	NA	NA	0.35858	1:1:1:1:1:1	0.299544(0.333955:0.259328:0.305348)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL010431	NG	0.796354	NA	NA	4.22109e-16	1293	304.469	988.531	NA	714	229	485	NA	NA	0.373358	1:1:1:1:1:1	0.29063(0.321517:0.258706:0.291667)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL010968	NG	0.808133	NA	NA	1.02477e-18	1335	313.103	1021.9	NA	747	241.5	505.5	NA	NA	0.384063	1:1:1:1:1:1	0.311982(0.353234:0.264925:0.317786)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL013499	NG	0.764337	NA	NA	1.10672e-21	1224	289.158	934.842	NA	677	228.917	448.083	NA	NA	0.347529	1:1:1:1:1:1	0.282546(0.31592:0.25:0.281716)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL014285	NG	0.750039	NA	NA	7.708e-22	1470	347.885	1122.11	NA	797	265	532	NA	NA	0.335881	1:1:1:1:1:1	0.332711(0.357587:0.288557:0.35199)	NA	NA	NA	NA
Vduc_GWHPDOBL004912-Vduc_GWHPDOBL036726	NG	0.311137	2.25438	0.138014	5.04622e-59	1650	383.657	1266.34	NA	596	273.5	322.5	NA	NA	0.762978	1:1:1:1:1:1	0.328773(0.368781:0.284826:0.332711)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL007610	NG	0.715971	NA	NA	2.3638e-24	1347	314.736	1032.26	NA	722	245.833	476.167	NA	NA	0.315023	1:1:1:1:1:1	0.319237(0.353234:0.296642:0.307836)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL009662	NG	0.50753	NA	NA	6.96858e-33	1305	306.674	998.326	NA	599	230.833	368.167	NA	NA	0.153262	1:1:1:1:1:1	0.291874(0.327114:0.265547:0.28296)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL010431	NG	0.280287	1.55462	0.180293	6.43012e-43	1374	319.287	1054.71	NA	456	209.333	246.667	NA	NA	0.576414	1:1:1:1:1:1	0.28296(0.314677:0.264925:0.269279)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL010968	NG	0.689473	3.8591	0.178662	3.12274e-20	1308	306.117	1001.88	NA	680	228.25	451.75	NA	NA	1.43127	1:1:1:1:1:1	0.304312(0.346393:0.271144:0.295398)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL013499	NG	0.57646	2.9138	0.197838	3.21536e-24	1251	297.218	953.782	NA	602	218.333	383.667	NA	NA	1.13177	1:1:1:1:1:1	0.274876(0.30908:0.256219:0.259328)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL014285	NG	0.650339	NA	NA	2.91679e-25	1392	329.829	1062.17	NA	711	249.083	461.917	NA	NA	0.259298	1:1:1:1:1:1	0.325041(0.350746:0.294776:0.329602)	NA	NA	NA	NA
Vduc_GWHPDOBL006900-Vduc_GWHPDOBL036726	NG	0.750083	NA	NA	4.12838e-19	1350	317.211	1032.79	NA	729	239.333	489.667	NA	NA	0.338863	1:1:1:1:1:1	0.321103(0.36194:0.291045:0.310323)	NA	NA	NA	NA
Vduc_GWHPDOBL007610-Vduc_GWHPDOBL009662	NG	0.741844	3.61553	0.205183	7.55112e-17	1251	292.021	958.979	NA	669	217.25	451.75	NA	NA	1.41265	1:1:1:1:1:1	0.288972(0.329602:0.257463:0.279851)	NA	NA	NA	NA
Vduc_GWHPDOBL007610-Vduc_GWHPDOBL010431	NG	0.755354	NA	NA	9.31275e-18	1281	299.841	981.159	NA	693	225.917	467.083	NA	NA	0.344481	1:1:1:1:1:1	0.280058(0.317164:0.256841:0.266169)	NA	NA	NA	NA
Vduc_GWHPDOBL007610-Vduc_GWHPDOBL010968	NG	0.74977	4.82428	0.155416	5.89905e-18	1329	309.498	1019.5	NA	715	231.75	483.25	NA	NA	1.69864	1:1:1:1:1:1	0.30141(0.348881:0.26306:0.292289)	NA	NA	NA	NA
Vduc_GWHPDOBL007610-Vduc_GWHPDOBL013499	NG	0.751525	3.73597	0.201159	4.65518e-16	1212	283.949	928.051	NA	652	211.5	440.5	NA	NA	1.45073	1:1:1:1:1:1	0.271973(0.311567:0.248134:0.256219)	NA	NA	NA	NA
Vduc_GWHPDOBL007610-Vduc_GWHPDOBL014285	NG	0.716178	NA	NA	1.42165e-25	1461	342.395	1118.61	NA	782	265.917	516.083	NA	NA	0.313981	1:1:1:1:1:1	0.322139(0.353234:0.286692:0.326493)	NA	NA	NA	NA
Vduc_GWHPDOBL007610-Vduc_GWHPDOBL036726	NG	0.299067	2.18065	0.137146	2.65194e-60	1662	385.144	1276.86	NA	588	273.083	314.917	NA	NA	0.735097	1:1:1:1:1:1	0.318201(0.364428:0.28296:0.307214)	NA	NA	NA	NA
Vduc_GWHPDOBL009662-Vduc_GWHPDOBL010431	NG	0.499126	NA	NA	7.62614e-38	1284	301.115	982.885	NA	593	234.75	358.25	NA	NA	0.147561	1:1:1:1:1:1	0.252695(0.291045:0.225746:0.241294)	NA	NA	NA	NA
Vduc_GWHPDOBL009662-Vduc_GWHPDOBL010968	NG	0.680758	2.04107	0.33353	7.79722e-15	1269	297.099	971.901	NA	643	208.167	434.833	NA	NA	0.999235	1:1:1:1:1:1	0.274046(0.322761:0.231965:0.267413)	NA	NA	NA	NA
Vduc_GWHPDOBL009662-Vduc_GWHPDOBL013499	NG	0.640771	NA	NA	7.34994e-22	1164	275.993	888.007	NA	591	208.417	382.583	NA	NA	0.251732	1:1:1:1:1:1	0.24461(0.285448:0.21704:0.231343)	NA	NA	NA	NA
Vduc_GWHPDOBL009662-Vduc_GWHPDOBL014285	NG	0.589201	1.9984	0.294837	1.82435e-19	1308	311.346	996.654	NA	624	217.25	406.75	NA	NA	0.924635	1:1:1:1:1:1	0.294776(0.327114:0.255597:0.301617)	NA	NA	NA	NA
Vduc_GWHPDOBL009662-Vduc_GWHPDOBL036726	NG	0.737648	NA	NA	1.80352e-18	1278	301.448	976.552	NA	685	226.5	458.5	NA	NA	0.327781	1:1:1:1:1:1	0.290837(0.338308:0.251866:0.282338)	NA	NA	NA	NA
Vduc_GWHPDOBL010431-Vduc_GWHPDOBL010968	NG	0.730195	2.32098	0.314607	1.69939e-14	1284	299.801	984.199	NA	674	214.667	459.333	NA	NA	1.10163	1:1:1:1:1:1	0.265133(0.310323:0.231343:0.253731)	NA	NA	NA	NA
Vduc_GWHPDOBL010431-Vduc_GWHPDOBL013499	NG	0.620058	NA	NA	1.2037e-23	1212	287.8	924.2	NA	607	217.083	389.917	NA	NA	0.235361	1:1:1:1:1:1	0.235697(0.27301:0.216418:0.217662)	NA	NA	NA	NA
Vduc_GWHPDOBL010431-Vduc_GWHPDOBL014285	NG	0.639708	2.77585	0.230455	3.7959e-21	1323	314.204	1008.8	NA	664	229.833	434.167	NA	NA	1.14703	1:1:1:1:1:1	0.285862(0.314677:0.254975:0.287935)	NA	NA	NA	NA
Vduc_GWHPDOBL010431-Vduc_GWHPDOBL036726	NG	0.753884	3.0051	0.250869	3.46741e-16	1296	305.672	990.328	NA	696	225.083	470.917	NA	NA	1.28485	1:1:1:1:1:1	0.281924(0.325871:0.251244:0.268657)	NA	NA	NA	NA
Vduc_GWHPDOBL010968-Vduc_GWHPDOBL013499	NG	0.61328	NA	NA	5.1579e-25	1179	280.256	898.744	NA	591	214.5	376.5	NA	NA	0.229793	1:1:1:1:1:1	0.257048(0.304726:0.222637:0.243781)	NA	NA	NA	NA
Vduc_GWHPDOBL010968-Vduc_GWHPDOBL014285	NG	0.401953	2.00703	0.200273	2.3729e-36	1419	334.348	1084.65	NA	571	233.5	337.5	NA	NA	0.780146	1:1:1:1:1:1	0.307214(0.346393:0.261194:0.314055)	NA	NA	NA	NA
Vduc_GWHPDOBL010968-Vduc_GWHPDOBL036726	NG	0.723673	NA	NA	2.22919e-26	1320	310.091	1009.91	NA	716	247.167	468.833	NA	NA	0.318752	1:1:1:1:1:1	0.303275(0.357587:0.257463:0.294776)	NA	NA	NA	NA
Vduc_GWHPDOBL013499-Vduc_GWHPDOBL014285	NG	0.562784	3.21819	0.174876	3.40717e-26	1251	301.799	949.201	NA	599	223.25	375.75	NA	NA	1.20339	1:1:1:1:1:1	0.277778(0.30908:0.246269:0.277985)	NA	NA	NA	NA
Vduc_GWHPDOBL013499-Vduc_GWHPDOBL036726	NG	0.781434	5.44277	0.143573	8.05359e-16	1227	289.315	937.685	NA	672	216.833	455.167	NA	NA	1.88053	1:1:1:1:1:1	0.273839(0.320274:0.242537:0.258706)	NA	NA	NA	NA
Vduc_GWHPDOBL014285-Vduc_GWHPDOBL036726	NG	0.716603	3.50682	0.204346	1.73482e-20	1455	342.749	1112.25	NA	768	254.667	513.333	NA	NA	1.37388	1:1:1:1:1:1	0.324005(0.36194:0.281095:0.32898)	NA	NA	NA	NA
