Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vvin_XP_002278978.1-Vvin_XP_010647826.1	NG	0.258147	1.35843	0.190034	1.56108e-47	1605	370.305	1234.7	NA	502	232.333	269.667	NA	NA	0.512003	1:1:1:1:1:1	0.358235(0.421598:0.321746:0.331361)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002272229.1	NG	0.660654	NA	NA	7.28205e-33	1566	367.376	1198.62	NA	815	288.583	526.417	NA	NA	0.271073	1:1:1:1:1:1	0.37574(0.425296:0.33284:0.369083)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002273129.3	NG	0.738919	NA	NA	1.43771e-19	1332	314.589	1017.41	NA	716	237.833	478.167	NA	NA	0.328225	1:1:1:1:1:1	0.338018(0.389053:0.315828:0.309172)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002278594.2	NG	0.792132	NA	NA	3.85742e-20	1533	360.078	1172.92	NA	847	273.25	573.75	NA	NA	0.371189	1:1:1:1:1:1	0.370809(0.429734:0.329882:0.352811)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002279322.1	NG	0.738484	NA	NA	1.81316e-19	1329	310.704	1018.3	NA	713	234.583	478.417	NA	NA	0.332047	1:1:1:1:1:1	0.339004(0.400888:0.319527:0.296598)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002274847.2	NG	0.754332	NA	NA	4.55388e-22	1335	309.975	1025.02	NA	729	241.417	487.583	NA	NA	0.346992	1:1:1:1:1:1	0.349606(0.409024:0.318787:0.321006)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002262763.1	NG	0.750416	NA	NA	5.33584e-20	1335	311.264	1023.74	NA	723	237.5	485.5	NA	NA	0.342295	1:1:1:1:1:1	0.35503(0.418639:0.323964:0.322485)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_010652148.1	NG	0.728257	2.29026	0.31798	4.55978e-14	1251	293.866	957.134	NA	656	210	446	NA	NA	1.09518	1:1:1:1:1:1	0.328649(0.383136:0.298817:0.303994)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002264700.2	NG	0.771008	NA	NA	4.1587e-29	1338	311.452	1026.55	NA	752	257.5	494.5	NA	NA	0.358763	1:1:1:1:1:1	0.344675(0.409763:0.31213:0.31213)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002264499.1	NG	0.783862	NA	NA	2.9697e-20	1419	330.1	1088.9	NA	783	253.5	529.5	NA	NA	0.368885	1:1:1:1:1:1	0.345907(0.39571:0.323225:0.318787)	NA	NA	NA	NA
Vvin_XP_002278978.1-Vvin_XP_002275995.1	NG	0.253801	1.28455	0.19758	2.19989e-49	1743	402.35	1340.65	NA	536	247.333	288.667	NA	NA	0.491738	1:1:1:1:1:1	0.373521(0.435651:0.344675:0.340237)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002272229.1	NG	0.621524	NA	NA	5.56979e-42	1491	350.864	1140.14	NA	770	288.25	481.75	NA	NA	0.239945	1:1:1:1:1:1	0.367604(0.411982:0.314349:0.376479)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002273129.3	NG	0.738517	5.01708	0.1472	1.37248e-18	1317	312.389	1004.61	NA	706	234	472	NA	NA	1.75338	1:1:1:1:1:1	0.329882(0.37574:0.297337:0.316568)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002278594.2	NG	0.734344	NA	NA	1.75221e-28	1434	339.369	1094.63	NA	784	271.417	512.583	NA	NA	0.323896	1:1:1:1:1:1	0.362673(0.41642:0.311391:0.360207)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002279322.1	NG	0.699746	4.15253	0.168511	1.35896e-19	1269	300.071	968.929	NA	665	224.167	440.833	NA	NA	1.5162	1:1:1:1:1:1	0.330868(0.387574:0.301036:0.303994)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002274847.2	NG	0.731691	NA	NA	1.65724e-22	1263	296.04	966.96	NA	683	231.167	451.833	NA	NA	0.325792	1:1:1:1:1:1	0.341469(0.39571:0.300296:0.328402)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002262763.1	NG	0.741641	3.56619	0.207965	4.1144e-17	1263	297.674	965.326	NA	676	221.333	454.667	NA	NA	1.40735	1:1:1:1:1:1	0.346893(0.405325:0.305473:0.329882)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_010652148.1	NG	0.76569	2.98388	0.256609	4.83513e-15	1245	295.304	949.696	NA	673	217.333	455.667	NA	NA	1.29183	1:1:1:1:1:1	0.320513(0.369822:0.280325:0.311391)	NA	NA	NA	NA
Vvin_XP_010647826.1-Vvin_XP_002264700.2	NG	0.722359	NA	NA	7.94717e-25	1269	298.253	970.747	NA	687	236.833	450.167	NA	NA	0.317553	1:1:1:1:1:1	0.336538(0.39645:0.293639:0.319527)	NA	NA	NA	NA
