Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Mdo_XP_008344380.3-Mdo_XP_008361562.1	NG	0.349751	1.51202	0.231314	2.70577e-33	1383	330.328	1052.67	NA	509	214.75	294.25	NA	NA	0.627356	1:1:1:1:1:1	0.278153(0.32973:0.262838:0.241892)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_008361572.2	NG	0.325125	1.25757	0.258534	1.74769e-29	1374	331.001	1043	NA	477	201.833	275.167	NA	NA	0.549754	1:1:1:1:1:1	0.267793(0.326351:0.252027:0.225)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_008363698.4	NG	0.682741	NA	NA	3.26507e-20	1218	291.152	926.848	NA	634	218.583	415.417	NA	NA	0.280497	1:1:1:1:1:1	0.253153(0.305405:0.233784:0.22027)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_008373555.3	NG	0.660529	3.66134	0.180407	3.30993e-22	1323	321.214	1001.79	NA	679	239.083	439.917	NA	NA	1.3891	1:1:1:1:1:1	0.298649(0.352703:0.276351:0.266892)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_017187244.1	NG	0.727466	NA	NA	5.4842e-23	1209	292.767	916.233	NA	657	230.333	426.667	NA	NA	0.309149	1:1:1:1:1:1	0.310586(0.352703:0.27973:0.299324)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_017188365.3	NG	0.558002	1.90357	0.293134	2.06077e-20	1317	315.122	1001.88	NA	612	217.667	394.333	NA	NA	0.879961	1:1:1:1:1:1	0.281532(0.327703:0.263514:0.253378)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_008374744.1	NG	0.715796	NA	NA	1.68147e-28	1308	314.431	993.569	NA	712	253.75	458.25	NA	NA	0.303334	1:1:1:1:1:1	0.323423(0.379054:0.293919:0.297297)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_070681829.1	NG	0.663193	2.23372	0.2969	1.06299e-17	1314	314.911	999.089	NA	664	224.167	439.833	NA	NA	1.03958	1:1:1:1:1:1	0.281757(0.329054:0.264189:0.252027)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_070664908.1	NG	0.0625457	0.179646	0.348161	3.5336e-08	1416	341.157	1074.84	NA	119	54.5	64.5	NA	NA	0.0907587	1:1:1:1:1:1	0.26509(0.321622:0.261486:0.212162)	NA	NA	NA	NA
Mdo_XP_008344380.3-Mdo_XP_008338598.2	NG	0.367127	1.56006	0.235329	1.69257e-32	1386	335.081	1050.92	NA	525	219.917	305.083	NA	NA	0.655531	1:1:1:1:1:1	0.279054(0.333108:0.260811:0.243243)	NA	NA	NA	NA
