Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.686386	3.95603	0.173503	1.08436e-17	1119	259.104	859.896	NA	580	193.333	386.667	NA	NA	1.44347	1:1:1:1:1:1	0.233479(0.266703:0.202081:0.231654)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.692986	4.32871	0.160091	3.23754e-18	1164	272.627	891.373	NA	607	203.833	403.167	NA	NA	1.54453	1:1:1:1:1:1	0.23567(0.261227:0.215772:0.230011)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.740477	6.51724	0.113618	1.72974e-16	1161	270.934	890.066	NA	622	203.167	418.833	NA	NA	2.08856	1:1:1:1:1:1	0.276561(0.296276:0.245893:0.287514)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.684041	6.03478	0.11335	1.29241e-18	1128	268.53	859.47	NA	587	201.333	385.667	NA	NA	1.95783	1:1:1:1:1:1	0.240416(0.264513:0.211391:0.245345)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro11518-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.286197	1.84243	0.155337	3.80837e-42	1215	281.22	933.78	NA	415	192.833	222.167	NA	NA	0.646396	1:1:1:1:1:1	0.229828(0.256298:0.205367:0.22782)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.729948	NA	NA	2.50002e-22	1164	270.686	893.314	NA	631	214.167	416.833	NA	NA	0.327653	1:1:1:1:1:1	0.254472(0.285871:0.228916:0.248631)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro00341-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.569391	3.45758	0.164679	2.7653e-24	1200	280.121	919.879	NA	575	208	367	NA	NA	1.24359	1:1:1:1:1:1	0.247536(0.263965:0.21632:0.262322)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.712143	NA	NA	3.33265e-20	1143	265.638	877.362	NA	609	205.583	403.417	NA	NA	0.314234	1:1:1:1:1:1	0.242424(0.271084:0.217415:0.238773)	NA	NA	NA	NA
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro07478-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.480241	2.27803	0.210815	1.01324e-26	1206	279.05	926.95	NA	528	199.25	328.75	NA	NA	0.896222	1:1:1:1:1:1	0.221249(0.248083:0.195509:0.220153)	NA	NA	NA	NA
Vmac_vmacro13559-RA_Vaccinium_macrocarpon_Stevens_v1-Vmac_vmacro14927-RA_Vaccinium_macrocarpon_Stevens_v1	NG	0.714268	NA	NA	4.69863e-25	1326	309.813	1016.19	NA	712	243.917	468.083	NA	NA	0.313738	1:1:1:1:1:1	0.263235(0.304491:0.23494:0.250274)	NA	NA	NA	NA
