Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Csin_XP_028119062.1-Csin_XP_028119063.1	NG	NA	NA	NA	NA	1458	328.636	1129.36	NA	0	NA	NA	NA	NA	NA	1:1:1:1:1:1	0.288349(0.34143:0.253036:0.27058)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028119061.1	NG	NA	NA	NA	NA	1518	342.007	1175.99	NA	0	NA	NA	NA	NA	NA	1:1:1:1:1:1	0.312641(0.367746:0.274629:0.295547)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028070300.2	NG	0.809361	2.34601	0.344995	9.66869e-11	1185	267.147	917.853	NA	646	191.583	454.417	NA	NA	1.15578	1:1:1:1:1:1	0.308367(0.344804:0.27193:0.308367)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028116915.2	NG	0.868068	2.76521	0.313924	1.35035e-10	1194	267.136	926.864	NA	672	195.333	476.667	NA	NA	1.29252	1:1:1:1:1:1	0.291723(0.331309:0.257085:0.286775)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028084915.1	NG	0.227954	1.1708	0.194699	4.32819e-43	1518	344.969	1173.03	NA	435	204.417	230.583	NA	NA	0.442218	1:1:1:1:1:1	0.319838(0.369096:0.2861:0.304318)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028109838.2	NG	0.838009	5.29157	0.158367	3.12027e-14	1290	298.369	991.631	NA	724	223.583	500.417	NA	NA	1.86809	1:1:1:1:1:1	0.303869(0.342105:0.27193:0.297571)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028068065.2	NG	0.760698	2.2886	0.332386	1.56482e-11	1101	252.496	848.504	NA	586	180.417	405.583	NA	NA	1.1111	1:1:1:1:1:1	0.282726(0.340081:0.25776:0.250337)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028107667.2	NG	0.813897	2.31623	0.351389	1.43466e-09	1026	239.354	786.646	NA	562	171.333	390.667	NA	NA	1.16437	1:1:1:1:1:1	0.288574(0.334683:0.259109:0.27193)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028083526.2	NG	0.826109	NA	NA	5.78581e-18	1329	307.462	1021.54	NA	749	237.5	511.5	NA	NA	0.403642	1:1:1:1:1:1	0.304543(0.357625:0.27193:0.284076)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028078238.2	NG	0.698543	NA	NA	2.42174e-28	1341	307.621	1033.38	NA	716	246.333	469.667	NA	NA	0.308903	1:1:1:1:1:1	0.306568(0.354926:0.275304:0.289474)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028104754.1	NG	0.78551	2.56384	0.306381	4.01829e-12	1173	263.752	909.248	NA	634	191.333	442.667	NA	NA	1.18537	1:1:1:1:1:1	0.284975(0.333333:0.251687:0.269906)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028110861.1	NG	0.834664	1.93318	0.431758	7.90395e-08	1095	251.311	843.689	NA	599	174.167	424.833	NA	NA	1.08678	1:1:1:1:1:1	0.280252(0.330634:0.253036:0.257085)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_082760673.1	NG	0.740212	NA	NA	4.28013e-18	1077	245.024	831.976	NA	582	190.583	391.417	NA	NA	0.344304	1:1:1:1:1:1	0.273729(0.32861:0.24224:0.250337)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_082761533.1	NG	0.780794	1.6376	0.476792	8.12851e-07	1017	236.034	780.966	NA	536	157.083	378.917	NA	NA	0.979648	1:1:1:1:1:1	0.263383(0.310391:0.238192:0.241565)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028080560.2	NG	0.297147	1.21868	0.243826	6.65912e-33	1479	330.952	1148.05	NA	481	199.333	281.667	NA	NA	0.503357	1:1:1:1:1:1	0.31489(0.367746:0.281377:0.295547)	NA	NA	NA	NA
Csin_XP_028119062.1-Csin_XP_028110859.2	NG	0.82007	1.90846	0.429703	4.76982e-08	1110	256.949	853.051	NA	603	177.583	425.417	NA	NA	1.07202	1:1:1:1:1:1	0.283401(0.32996:0.261808:0.258435)	NA	NA	NA	NA
Csin_XP_028119063.1-Csin_XP_028119061.1	NG	NA	NA	NA	NA	1458	328.636	1129.36	NA	0	NA	NA	NA	NA	NA	1:1:1:1:1:1	0.307242(0.360999:0.271255:0.289474)	NA	NA	NA	NA
Csin_XP_028119063.1-Csin_XP_028070300.2	NG	0.815327	2.52808	0.322508	8.51231e-11	1125	254.294	870.706	NA	617	184.167	432.833	NA	NA	1.20248	1:1:1:1:1:1	0.302969(0.338057:0.268556:0.302294)	NA	NA	NA	NA
Csin_XP_028119063.1-Csin_XP_028116915.2	NG	0.871933	3.12022	0.279446	1.76995e-10	1134	253.285	880.715	NA	641	187	454	NA	NA	1.3741	1:1:1:1:1:1	0.286325(0.324561:0.253711:0.280702)	NA	NA	NA	NA
