Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Aer_XP_057479248.1-Aer_XP_057462256.1	NG	0.0325198	0.102644	0.31682	1.32159e-06	1674	385.698	1288.3	NA	78	37	41	NA	NA	0.0486768	1:1:1:1:1:1	0.248812(0.282077:0.223523:0.240835)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057480547.1	NG	0.295282	1.27974	0.230736	2.92198e-38	1605	371.154	1233.85	NA	529	227.833	301.167	NA	NA	0.522938	1:1:1:1:1:1	0.256619(0.289206:0.226069:0.254582)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057480549.1	NG	0.302176	1.26495	0.238884	1.7613e-31	1344	311.031	1032.97	NA	447	190.083	256.917	NA	NA	0.524984	1:1:1:1:1:1	0.235574(0.266293:0.205193:0.235234)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057481773.1	NG	0.231494	1.81522	0.127529	2.5176e-68	1656	384.515	1271.49	NA	516	262.75	253.25	NA	NA	0.599228	1:1:1:1:1:1	0.276986(0.298371:0.238798:0.293788)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057481774.1	NG	0.231494	1.81522	0.127529	2.5176e-68	1656	384.515	1271.49	NA	516	262.75	253.25	NA	NA	0.599228	1:1:1:1:1:1	0.271215(0.291242:0.234725:0.287678)	NA	NA	NA	NA
Aer_XP_057479248.1-Aer_XP_057486393.1	NG	0.287598	1.26668	0.227049	5.60376e-39	1602	371.243	1230.76	NA	521	227	294	NA	NA	0.514487	1:1:1:1:1:1	0.255092(0.289206:0.226069:0.25)	NA	NA	NA	NA
Aer_XP_057479248.1-Ath_NP_173919.1	NG	0.292579	NA	NA	3.80611e-70	1539	350.888	1188.11	NA	555	267.167	287.833	NA	NA	NA	1:1:1:1:1:1	0.242532(0.277495:0.216395:0.233707)	NA	NA	NA	NA
Aer_XP_057479248.1-Ath_NP_564935.1	NG	0.303352	3.31796	0.0914272	4.07177e-61	1512	343.338	1168.66	NA	546	254.417	291.583	NA	NA	0.987895	1:1:1:1:1:1	0.240665(0.274949:0.211813:0.235234)	NA	NA	NA	NA
Aer_XP_057479248.1-Ath_NP_188473.1	NG	0.363511	NA	NA	1.20194e-58	1626	378.951	1247.05	NA	644	284.75	359.25	NA	NA	0.0457352	1:1:1:1:1:1	0.264257(0.299389:0.232688:0.260692)	NA	NA	NA	NA
Aer_XP_057479248.1-Csin_XP_028119062.1	NG	0.107489	0.450254	0.23873	8.31686e-23	1461	330.103	1130.9	NA	225	111.75	113.25	NA	NA	0.184935	1:1:1:1:1:1	0.233537(0.269857:0.20723:0.223523)	NA	NA	NA	NA
Aer_XP_057479248.1-Csin_XP_028119063.1	NG	0.112476	0.453288	0.248134	3.64325e-21	1401	316.733	1084.27	NA	221	107.75	113.25	NA	NA	0.189526	1:1:1:1:1:1	0.229464(0.264766:0.204684:0.218941)	NA	NA	NA	NA
Aer_XP_057479248.1-Csin_XP_028119061.1	NG	0.103707	0.43315	0.239426	1.8724e-25	1665	382.174	1282.83	NA	250	125.75	124.25	NA	NA	0.179325	1:1:1:1:1:1	0.247794(0.284623:0.220978:0.23778)	NA	NA	NA	NA
Aer_XP_057479248.1-Csin_XP_028084915.1	NG	0.232216	1.193	0.194648	6.3176e-48	1674	386.693	1287.31	NA	488	230.917	257.083	NA	NA	0.454156	1:1:1:1:1:1	0.253225(0.285642:0.229633:0.244399)	NA	NA	NA	NA
Aer_XP_057479248.1-Csin_XP_028080560.2	NG	0.287886	1.19168	0.241581	9.87903e-37	1632	371.231	1260.77	NA	523	221.583	301.417	NA	NA	0.493471	1:1:1:1:1:1	0.249491(0.284623:0.226069:0.23778)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_008374744.1	NG	0.305828	1.18538	0.258	7.41276e-35	1665	388.546	1276.45	NA	552	231.417	320.583	NA	NA	0.511081	1:1:1:1:1:1	0.267651(0.301935:0.233707:0.267312)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_008360056.2	NG	0.252578	1.62032	0.155881	1.12133e-51	1449	336.828	1112.17	NA	462	223.5	238.5	NA	NA	0.570517	1:1:1:1:1:1	0.244908(0.271385:0.214358:0.248982)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_008350864.3	NG	0.223251	1.44134	0.154891	1.66861e-58	1626	373.557	1252.44	NA	481	239.167	241.833	NA	NA	0.503096	1:1:1:1:1:1	0.261711(0.294297:0.226578:0.264257)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_017186658.2	NG	0.311339	1.27321	0.24453	4.63013e-34	1524	351.201	1172.8	NA	514	215.167	298.833	NA	NA	0.532999	1:1:1:1:1:1	0.255261(0.288187:0.220978:0.256619)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_008367579.2	NG	0.306862	1.20162	0.255374	3.06044e-35	1662	387.374	1274.63	NA	553	232	321	NA	NA	0.515409	1:1:1:1:1:1	0.267651(0.301426:0.233198:0.26833)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_008339686.4	NG	0.251606	1.66361	0.151241	4.99293e-53	1446	340.743	1105.26	NA	464	227.75	236.25	NA	NA	0.584339	1:1:1:1:1:1	0.241344(0.27444:0.212322:0.237271)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_008361730.3	NG	0.21549	1.40398	0.153485	2.94058e-50	1377	315.404	1061.6	NA	399	200.167	198.833	NA	NA	0.487716	1:1:1:1:1:1	0.233028(0.26222:0.203157:0.233707)	NA	NA	NA	NA
Aer_XP_057479248.1-Mdo_XP_070672292.1	NG	0.229236	1.47219	0.155711	7.04323e-40	1074	254.654	819.346	NA	326	164.167	161.833	NA	NA	0.523951	1:1:1:1:1:1	0.211134(0.230652:0.187373:0.215377)	NA	NA	NA	NA
Aer_XP_057479248.1-Rsim_KAF7149174.1	NG	0.196642	0.652448	0.301392	8.2152e-24	1617	374.055	1242.94	NA	378	163	215	NA	NA	0.302082	1:1:1:1:1:1	0.251188(0.289206:0.221487:0.242872)	NA	NA	NA	NA
Aer_XP_057479248.1-Rsim_KAF7134348.1	NG	0.285714	1.76719	0.161677	6.00562e-54	1602	370.196	1231.8	NA	544	251.333	292.667	NA	NA	0.628059	1:1:1:1:1:1	0.259335(0.292261:0.230652:0.255092)	NA	NA	NA	NA
