Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Rsim_KAF7152173.1-Rsim_KAF7153641.1	NG	0.656325	NA	NA	5.34852e-23	1254	291.079	962.921	NA	643	221.833	421.167	NA	NA	0.271857	1:1:1:1:1:1	0.264075(0.292895:0.235925:0.263405)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7150813.1	NG	0.727403	NA	NA	5.33794e-21	1290	305.178	984.822	NA	692	233.417	458.583	NA	NA	0.318748	1:1:1:1:1:1	0.317024(0.340483:0.275469:0.335121)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7150614.1	NG	0.322423	3.9199	0.082253	2.99227e-56	1428	328.096	1099.9	NA	533	244.75	288.25	NA	NA	1.14898	1:1:1:1:1:1	0.284406(0.316354:0.252681:0.284182)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7147369.1	NG	0.511444	2.4573	0.208132	1.67105e-27	1314	304.384	1009.62	NA	594	219.667	374.333	NA	NA	0.962195	1:1:1:1:1:1	0.273458(0.300938:0.239946:0.279491)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7146936.1	NG	0.51736	2.61496	0.197846	6.86e-29	1362	314.056	1047.94	NA	620	228.333	391.667	NA	NA	1.00103	1:1:1:1:1:1	0.28664(0.320375:0.24933:0.290214)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7149174.1	NG	0.834837	2.62978	0.317455	1.66339e-12	1356	313.175	1042.83	NA	753	227.833	525.167	NA	NA	1.24939	1:1:1:1:1:1	0.313226(0.353887:0.271448:0.314343)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7139285.1	NG	0.17106	0.770837	0.221915	6.96925e-31	1371	317.312	1053.69	NA	314	152.833	161.167	NA	NA	0.309876	1:1:1:1:1:1	0.271448(0.302949:0.247319:0.264075)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7137314.1	NG	0.813638	1.94896	0.417472	8.33766e-10	1302	306.1	995.9	NA	707	212.5	494.5	NA	NA	1.08055	1:1:1:1:1:1	0.301832(0.341823:0.265416:0.298257)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7134348.1	NG	0.725773	NA	NA	2.78623e-25	1362	318.524	1043.48	NA	736	250.75	485.25	NA	NA	0.322175	1:1:1:1:1:1	0.32395(0.357909:0.283512:0.330429)	NA	NA	NA	NA
Rsim_KAF7152173.1-Rsim_KAF7131711.1	NG	0.756466	NA	NA	4.08038e-22	1416	328.813	1087.19	NA	772	254	518	NA	NA	0.348593	1:1:1:1:1:1	0.356568(0.384718:0.308311:0.376676)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7150813.1	NG	0.788576	NA	NA	1.10089e-22	1212	290.577	921.423	NA	683	233.417	449.583	NA	NA	0.359765	1:1:1:1:1:1	0.292895(0.322386:0.260724:0.295576)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7150614.1	NG	0.641475	1.99508	0.321528	6.19184e-16	1254	294.127	959.873	NA	619	205.167	413.833	NA	NA	0.958966	1:1:1:1:1:1	0.260277(0.298257:0.237936:0.244638)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7147369.1	NG	0.660141	2.63027	0.250978	2.14362e-18	1239	291.519	947.481	NA	628	212.083	415.917	NA	NA	1.12368	1:1:1:1:1:1	0.24933(0.282842:0.225201:0.239946)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7146936.1	NG	0.664577	2.36489	0.281018	4.17491e-17	1239	291.682	947.318	NA	627	209.417	417.583	NA	NA	1.06486	1:1:1:1:1:1	0.262511(0.302279:0.234584:0.25067)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7149174.1	NG	0.87348	2.84457	0.30707	7.81755e-11	1203	282.249	920.751	NA	682	206.917	475.083	NA	NA	1.33594	1:1:1:1:1:1	0.289097(0.335791:0.256702:0.274799)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7139285.1	NG	0.623548	3.68518	0.169205	9.0647e-22	1206	284.535	921.465	NA	602	211.833	390.167	NA	NA	1.34589	1:1:1:1:1:1	0.247319(0.284853:0.232574:0.224531)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7137314.1	NG	0.730624	NA	NA	1.21293e-19	1161	275.314	885.686	NA	626	212.5	413.5	NA	NA	0.320233	1:1:1:1:1:1	0.277703(0.323727:0.25067:0.258713)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7134348.1	NG	0.796084	NA	NA	7.01832e-16	1248	294.276	953.724	NA	689	221.167	467.833	NA	NA	0.37257	1:1:1:1:1:1	0.299821(0.339812:0.268767:0.290885)	NA	NA	NA	NA
Rsim_KAF7153641.1-Rsim_KAF7131711.1	NG	0.820025	NA	NA	1.73181e-16	1245	292.83	952.17	NA	699	224.167	474.833	NA	NA	0.391947	1:1:1:1:1:1	0.33244(0.366622:0.293566:0.337131)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7150614.1	NG	0.692622	NA	NA	1.67465e-21	1311	309.128	1001.87	NA	687	234	453	NA	NA	0.293509	1:1:1:1:1:1	0.313226(0.345845:0.27748:0.316354)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7147369.1	NG	0.776282	NA	NA	3.3275e-16	1230	292.915	937.085	NA	673	219.833	453.167	NA	NA	0.353275	1:1:1:1:1:1	0.302279(0.330429:0.264745:0.311662)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7146936.1	NG	0.781026	5.19385	0.150375	6.72239e-16	1233	294.178	938.822	NA	676	220.417	455.583	NA	NA	1.83387	1:1:1:1:1:1	0.31546(0.349866:0.274129:0.322386)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7149174.1	NG	0.692477	NA	NA	8.03612e-29	1497	351.042	1145.96	NA	793	274.917	518.083	NA	NA	0.295596	1:1:1:1:1:1	0.342046(0.383378:0.296247:0.346515)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7139285.1	NG	0.759973	3.5516	0.21398	6.03366e-16	1227	292.905	934.095	NA	664	217.75	446.25	NA	NA	1.42638	1:1:1:1:1:1	0.300268(0.33244:0.272118:0.296247)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7137314.1	NG	0.857678	1.65754	0.517441	1.53519e-06	1287	308.509	978.491	NA	706	206	500	NA	NA	1.04941	1:1:1:1:1:1	0.330652(0.371314:0.290214:0.330429)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7134348.1	NG	0.638706	NA	NA	1.18395e-29	1491	352.506	1138.49	NA	760	270.5	489.5	NA	NA	0.251279	1:1:1:1:1:1	0.35277(0.387399:0.308311:0.362601)	NA	NA	NA	NA
Rsim_KAF7150813.1-Rsim_KAF7131711.1	NG	0.638058	3.83257	0.166483	5.63885e-27	1548	366.881	1181.12	NA	781	273.5	507.5	NA	NA	1.39517	1:1:1:1:1:1	0.385389(0.414209:0.33311:0.408847)	NA	NA	NA	NA
Rsim_KAF7150614.1-Rsim_KAF7147369.1	NG	0.498656	NA	NA	3.26025e-34	1302	304.965	997.035	NA	594	230.833	363.167	NA	NA	0.147629	1:1:1:1:1:1	0.26966(0.3063:0.241957:0.260724)	NA	NA	NA	NA
