Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1	NG	0.687237	NA	NA	2.97165e-23	1245	293.164	951.836	NA	655	226.667	428.333	NA	NA	0.289938	1:1:1:1:1:1	0.295056(0.316986:0.267943:0.300239)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1	NG	0.792211	3.08951	0.25642	2.87821e-16	1422	335.34	1086.66	NA	779	247.417	531.583	NA	NA	1.33397	1:1:1:1:1:1	0.309809(0.341507:0.274522:0.313397)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	NG	0.592686	2.31372	0.256162	3.93441e-13	750	182.106	567.894	NA	363	130.333	232.667	NA	NA	1.01057	1:1:1:1:1:1	0.233852(0.252392:0.204545:0.244617)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1	NG	0.601096	2.18117	0.275585	4.85487e-15	942	224.942	717.058	NA	456	159.5	296.5	NA	NA	0.978405	1:1:1:1:1:1	0.241826(0.263158:0.2189:0.243421)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1	NG	0.788134	3.25903	0.241831	1.57506e-16	1422	334.223	1087.78	NA	778	247.417	530.583	NA	NA	1.36889	1:1:1:1:1:1	0.300837(0.333732:0.263158:0.305622)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	NG	0.796134	NA	NA	2.21472e-16	1314	307.988	1006.01	NA	725	231.5	493.5	NA	NA	0.375139	1:1:1:1:1:1	0.325359(0.342105:0.29067:0.343301)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.71973	NA	NA	3.23766e-19	1260	297.95	962.05	NA	670	224.833	445.167	NA	NA	0.313069	1:1:1:1:1:1	0.272927(0.30323:0.238636:0.276914)	NA	NA	NA	NA
Vmic_vmicro16897-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.744399	3.59805	0.206889	6.50615e-16	1179	277.736	901.264	NA	632	206.583	425.417	NA	NA	1.41663	1:1:1:1:1:1	0.261164(0.284091:0.23445:0.264952)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1	NG	0.760478	NA	NA	2.19729e-19	1413	331.051	1081.95	NA	767	249.917	517.083	NA	NA	0.348017	1:1:1:1:1:1	0.309809(0.346292:0.286483:0.296651)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	NG	0.59924	NA	NA	7.06324e-25	879	211.18	667.82	NA	446	170.417	275.583	NA	NA	0.215021	1:1:1:1:1:1	0.233852(0.257177:0.216507:0.227871)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1	NG	0.612512	2.49036	0.245953	9.70701e-18	1086	254.416	831.584	NA	532	183.917	348.083	NA	NA	1.05243	1:1:1:1:1:1	0.241826(0.267943:0.230861:0.226675)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1	NG	0.7598	NA	NA	5.64217e-21	1413	330.493	1082.51	NA	770	252.917	517.083	NA	NA	0.348192	1:1:1:1:1:1	0.300837(0.338517:0.27512:0.288876)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	NG	0.780628	2.77975	0.280827	1.00553e-14	1332	311.657	1020.34	NA	723	228	495	NA	NA	1.24838	1:1:1:1:1:1	0.325359(0.34689:0.302632:0.326555)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.709282	NA	NA	1.25315e-21	1155	266.433	888.567	NA	616	208.417	407.583	NA	NA	0.314989	1:1:1:1:1:1	0.272927(0.308014:0.250598:0.260167)	NA	NA	NA	NA
Vmic_vmicro01063-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.342819	1.46652	0.233764	2.35198e-32	1368	318.908	1049.09	NA	494	205.333	288.667	NA	NA	0.604775	1:1:1:1:1:1	0.261164(0.288876:0.246411:0.248206)	NA	NA	NA	NA
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1-Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	NG	0.519162	NA	NA	1.84955e-23	933	223.45	709.55	NA	434	168.167	265.833	NA	NA	0.155328	1:1:1:1:1:1	0.248604(0.281699:0.223086:0.241029)	NA	NA	NA	NA
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1-Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1	NG	0.812773	2.39305	0.339639	1.84944e-10	1080	255.976	824.024	NA	593	184.083	408.917	NA	NA	1.18732	1:1:1:1:1:1	0.256579(0.292464:0.23744:0.239833)	NA	NA	NA	NA
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1-Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1	NG	0.00951041	0.0113553	0.837532	0.553346	1722	399.299	1322.7	NA	17	4.5	12.5	NA	NA	0.0099382	1:1:1:1:1:1	0.31559(0.363038:0.281699:0.302033)	NA	NA	NA	NA
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1-Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	NG	0.326507	2.87277	0.113656	9.26903e-59	1581	367.759	1213.24	NA	591	269.833	321.167	NA	NA	0.918796	1:1:1:1:1:1	0.340112(0.371411:0.309211:0.339713)	NA	NA	NA	NA
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1-Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	NG	0.276191	1.7499	0.157833	1.81138e-45	1323	305.52	1017.48	NA	442	206.917	235.083	NA	NA	0.616514	1:1:1:1:1:1	0.287679(0.332536:0.257177:0.273325)	NA	NA	NA	NA
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1-Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	NG	0.860396	2.58935	0.332282	9.25527e-12	1332	313.483	1018.52	NA	749	227.667	521.333	NA	NA	1.2673	1:1:1:1:1:1	0.275917(0.313397:0.25299:0.261364)	NA	NA	NA	NA
Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1-Vmic_vmicro00103-RA_Vaccinium_microcarpum_v1	NG	0.661243	NA	NA	1.87697e-18	837	200.377	636.623	NA	437	157.25	279.75	NA	NA	0.263543	1:1:1:1:1:1	0.180622(0.203349:0.167464:0.171053)	NA	NA	NA	NA
