LABELS
SEPARATOR TAB
DATA
Aer_XP_057461131.1	A. eriantha ALMT1
Aer_XP_057462256.1	A. eriantha ALMT2
Aer_XP_057479248.1	A. eriantha ALMT3
Csin_XP_028119061.1	C. sinensis ALMT1
Csin_XP_028119063.1	C. sinensis ALMT2
Csin_XP_028119062.1	C. sinensis ALMT3
Rsim_KAF7149174.1	R. simsii ALMT1
Vcor_VaccDscaff33-augustus-gene-295.32-mRNA-1	V. corymbosum ALMT1
Vduc_GWHPDOBL007610	V. duclouxii ALMT1
Vdar_KAH7854940.1	V. darrowii ALMT1
Vmac_vmacro06484-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT1
Vmic_vmicro08677-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT1
Aer_XP_057481773.1	A. eriantha ALMT4
Aer_XP_057481774.1	A. eriantha ALMT5
Csin_XP_028084915.1	C. sinensis ALMT4
Rsim_KAF7131711.1	R. simsii ALMT2
Vcor_VaccDscaff20-snap-gene-123.32-mRNA-1	V. corymbosum ALMT2
Vduc_GWHPDOBL004912	V. duclouxii ALMT2
Vmic_vmicro21395-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT2
Vmac_vmacro10544-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT2
Vvin_XP_002278978.1	V. vinifera ALMT1
Ath_NP_001325206.1	A. thaliana ALMT1
Ath_NP_564935.1	A. thaliana ALMT2
Ath_NP_173919.1	A. thaliana ALMT3
Mdo_XP_008350864.3	M. domestica ALMT1
Mdo_XP_008361730.3	M. domestica ALMT2
Mdo_XP_070672292.1	M. domestica ALMT3
Aer_XP_057480547.1	A. eriantha ALMT6
Aer_XP_057480549.1	A. eriantha ALMT7
Aer_XP_057486393.1	A. eriantha ALMT8
Rsim_KAF7134348.1	R. simsii ALMT3
Vcor_VaccDscaff13-snap-gene-205.30-mRNA-1	V. corymbosum ALMT3
Vdar_KAH7851380.1	V. darrowii ALMT2
Vduc_GWHPDOBL036726	V. duclouxii ALMT3
Vmac_vmacro17665-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT3
Vmic_vmicro07721-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT3
Vmic_vmicro25044-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT4
Csin_XP_028080560.2	C. sinensis ALMT5
Mdo_XP_008367579.2	M. domestica ALMT4
Mdo_XP_017186658.2	M. domestica ALMT5
Mdo_XP_008374744.1	M. domestica ALMT6
Vvin_XP_002275995.1	V. vinifera ALMT2
Ath_NP_173278.1	A. thaliana ALMT4
Ath_NP_188473.1	A. thaliana ALMT5
Mdo_XP_008339686.4	M. domestica ALMT7
Mdo_XP_008360056.2	M. domestica ALMT8
Vvin_XP_010647826.1	V. vinifera ALMT3
Aer_XP_057463337.1	A. eriantha ALMT9
Aer_XP_057511237.1	A. eriantha ALMT10
Csin_XP_028078238.2	C. sinensis ALMT6
Rsim_KAF7150813.1	R. simsii ALMT4
Vcor_VaccDscaff20-processed-gene-339.3-mRNA-1	V. corymbosum ALMT4
Vcor_VaccDscaff28-snap-gene-34.33-mRNA-1	V. corymbosum ALMT5
Vdar_KAH7840041.1	V. darrowii ALMT3
Vmac_vmacro11417-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT4
Vmic_vmicro28240-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT5
Vvin_XP_002272229.1	V. vinifera ALMT4
Mdo_XP_017187244.1	M. domestica ALMT9
Mdo_XP_028948673.1	M. domestica ALMT10
Aer_XP_057463197.1	A. eriantha ALMT11
Rsim_KAF7139285.1	R. simsii ALMT5
Vcor_VaccDscaff22-augustus-gene-3.23-mRNA-1	V. corymbosum ALMT6
Vmic_vmicro05697-RA_Vaccinium_microcarpum_v1	V. microcarpum ALMT6
Vduc_GWHPDOBL010431	V. duclouxii ALMT4
Csin_XP_028070300.2	C. sinensis ALMT7
Aer_XP_057496637.1	A. eriantha ALMT12
Rsim_KAF7152173.1	R. simsii ALMT6
Vcor_VaccDscaff37-snap-gene-141.39-mRNA-1	V. corymbosum ALMT7
Vdar_KAH7859503.1	V. darrowii ALMT4
Vmac_vmacro12658-RA_Vaccinium_macrocarpon_Stevens_v1	V. macrocarpon ALMT5
Csin_XP_028116915.2	C. sinensis ALMT8
Vvin_XP_002264499.1	V. vinifera ALMT5
Ath_NP_001319836.1	A. thaliana ALMT6
Mdo_XP_070681829.1	M. domestica ALMT11
Aer_XP_057510152.1	A. eriantha ALMT13
Rsim_KAF7150614.1	R. simsii ALMT7
Vcor_VaccDscaff49-snap-gene-9.64-mRNA-1	V. corymbosum ALMT8
